Date,League,Team1,Team2,T1 Open,T1 DK,T2 Open,T2 DK
2025/05/12,mlb,Pirates,Mets,+114,+136,-135,-162
2025/05/12,mlb,Nationals,Braves,+145,+160,-175,-192
2025/05/12,mlb,Marlins,Cubs,+195,+220,-238,-270
2025/05/12,mlb,Rockies,Rangers,+230,+215,-285,-265
2025/05/12,mlb,Royals,Astros,+100,+105,-120,-125
2025/05/12,mlb,Angels,Padres,+180,+185,-218,-225
2025/05/12,mlb,Yankees,Mariners,-135,-155,+114,+130
2025/05/12,mlb,Diamondbacks,Giants,-102,-122,-118,+102
2025/05/11,mlb,Cubs,Mets,+110,+110,-130,-130
2025/05/11,mlb,Braves,Pirates,-225,-238,+185,+195
2025/05/11,mlb,Cardinals,Nationals,+110,+120,-130,-142
2025/05/11,mlb,Rangers,Tigers,-102,-102,-118,-118
2025/05/11,mlb,Brewers,Rays,+130,+120,-155,-142
2025/05/11,mlb,Giants,Twins,+140,+136,-166,-162
2025/05/11,mlb,Reds,Astros,+124,+124,-148,-148
2025/05/11,mlb,Red Sox,Royals,+110,+114,-130,-135
2025/05/11,mlb,Marlins,White Sox,-122,-135,+102,+114
2025/05/11,mlb,Padres,Rockies,-238,-325,+195,+260
2025/05/11,mlb,Yankees,Athletics,-135,-148,+114,+124
2025/05/11,mlb,Orioles,Angels,-135,-148,+114,+124
2025/05/11,mlb,Dodgers,Diamondbacks,-115,-120,-105,+100
2025/05/11,mlb,Blue Jays,Mariners,+145,+154,-175,-185
2025/05/11,mlb,Phillies,Guardians,-166,-170,+140,+142
2025/05/10,mlb,Braves,Pirates,-142,-148,+120,+124
2025/05/10,mlb,Yankees,Athletics,-155,-166,+130,+140
2025/05/10,mlb,Cardinals,Nationals,-115,-118,-105,-102
2025/05/10,mlb,Brewers,Rays,+114,+100,-135,-120
2025/05/10,mlb,Rangers,Tigers,-112,-130,-108,+110
2025/05/10,mlb,Phillies,Guardians,-115,-130,-105,+110
2025/05/10,mlb,Reds,Astros,+120,+105,-142,-125
2025/05/10,mlb,Red Sox,Royals,-118,-108,-102,-112
2025/05/10,mlb,Marlins,White Sox,-110,-115,-110,-105
2025/05/10,mlb,Giants,Twins,-110,-115,-110,-105
2025/05/10,mlb,Cubs,Mets,+130,+142,-155,-170
2025/05/10,mlb,Dodgers,Diamondbacks,-112,-105,-108,-115
2025/05/10,mlb,Padres,Rockies,-198,-250,+164,+205
2025/05/10,mlb,Orioles,Angels,-135,-142,+114,+120
2025/05/10,mlb,Blue Jays,Mariners,+105,+105,-125,-135
2025/05/09,mlb,Braves,Pirates,-148,-148,+124,+124
